Location,Post Office,State,Postcode,Latitude,Longitude
Kampung Jawa,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Kampung Kota Dalam,Ayer Hitam,Johor,86100,6.184395,100.377434
Kampung Kuari,Ayer Hitam,Johor,86100,1.873725,103.149342
Kampung Kuari,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Kampung Melayu Bukit Nyamuk,Ayer Hitam,Johor,86100,1.954694,103.2085649
Kampung Parit Haji Salleh,Ayer Hitam,Johor,86100,1.929564,103.186175
Kampung Parit Haji Salleh,Ayer Hitam,Johor,86100,1.888235,103.1560984
Kampung Parit Kangkar,Ayer Hitam,Johor,86100,1.9136111,103.1472222
Kampung Parit Kasan Jagol,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Kampung Parit Khalil,Ayer Hitam,Johor,86100,1.9071202,103.1677592
Kampung Parit Sagil,Ayer Hitam,Johor,86100,1.929564,103.186175
Kampung Parit Sagil,Ayer Hitam,Johor,86100,1.9100188,103.1579668
Kampung Parit Samion,Ayer Hitam,Johor,86100,1.8994444,103.1852778
Kampung Parit Sonto,Ayer Hitam,Johor,86100,1.9080556,103.1475
Kampung Seri Burong,Ayer Hitam,Johor,86100,1.929564,103.186175
Kampung Seri Burong,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Kampung Seri Desa,Ayer Hitam,Johor,86100,1.9094216,103.2057597
Kampung Seri Desa,Ayer Hitam,Johor,86100,1.906649,103.2037279
Kampung Sri Maju Jaya,Ayer Hitam,Johor,86100,1.8517312,103.2139361
Kawasan Rehat Machap,Ayer Hitam,Johor,86100,1.896184,103.2239869
Kilang Kelapa Sawit,Ayer Hitam,Johor,86100,1.929564,103.186175
Kilang Kelapa Sawit,Ayer Hitam,Johor,86100,1.9808115,103.217298
Ladang Asam Bubok,Ayer Hitam,Johor,86100,1.9408399,103.1440355
Medan Putra,Ayer Hitam,Johor,86100,1.919575,103.180935
Parit Haji Siraj,Ayer Hitam,Johor,86100,1.8854519,103.1669477
Parit Kasan,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Parit Khalil,Ayer Hitam,Johor,86100,1.929564,103.186175
Parit Khalil,Ayer Hitam,Johor,86100,1.8979655,103.1815995
Parit Sagil,Ayer Hitam,Johor,86100,1.910259,103.152168
Parit Salleh Khairon,Ayer Hitam,Johor,86100,1.888235,103.1560984
Parit Semo,Ayer Hitam,Johor,86100,1.8946263,103.1687532
Taman Ayer Hitam,Ayer Hitam,Johor,86100,1.921422,103.178901
Taman Ayer Hitam,Ayer Hitam,Johor,86100,1.9156337,103.1725929
Taman Bahagia,Ayer Hitam,Johor,86100,1.938025,103.1956088
Taman Bukit Indah,Ayer Hitam,Johor,86100,1.9451256,103.2086442
Taman Bukit Indah,Ayer Hitam,Johor,86100,1.912792,103.1884571
Taman Cerah,Ayer Hitam,Johor,86100,1.913709,103.186647
Taman Desa Baru,Ayer Hitam,Johor,86100,1.912174,103.1861851
Taman Mekar,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Taman Mekar,Ayer Hitam,Johor,86100,1.9189876,103.1756033
Taman Perdana,Ayer Hitam,Johor,86100,1.9209753,103.1747557
Taman Perdana,Ayer Hitam,Johor,86100,1.924146,103.1774198
Taman Perindustrian Ayer Hitam,Ayer Hitam,Johor,86100,1.9172914,103.1904696
Taman Ros,Ayer Hitam,Johor,86100,1.9226369,103.1743025
Taman Serbanika,Ayer Hitam,Johor,86100,1.9547499,103.1971067
Taman Suria,Ayer Hitam,Johor,86100,1.925649,103.1764169
Taman Tasek,Ayer Hitam,Johor,86100,1.898302,103.207316
Taman UPC,Ayer Hitam,Johor,86100,1.909733,103.1707379
Ayer Tawar,Ayer Tawar 2,Johor,81920,1.6744219,104.0189822
Ayer Tawar 2,Ayer Tawar 2,Johor,81920,1.602164,104.0827096
Ayer Tawar 2,Ayer Tawar 2,Johor,81920,1.6744219,104.0189822
Felcra Sungai Layar,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Felda Air Tawar 1,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Felda Air Tawar 2,Ayer Tawar 2,Johor,81920,2.635283,103.643115
Felda Air Tawar 3,Ayer Tawar 2,Johor,81920,2.638024,103.632355
Felda Air Tawar 4,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Felda Air Tawar 5,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Felda Semenchu,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Johor Kampung/Johor Lama,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Kampung Baru Sungai Layau,Ayer Tawar 2,Johor,81920,1.6744219,104.0189822
Kampung Belading Baru,Ayer Tawar 2,Johor,81920,1.6744219,104.0189822
Kampung Panchor,Ayer Tawar 2,Johor,81920,1.6744219,104.0189822
Kampung Sungai Layau,Ayer Tawar 2,Johor,81920,1.5426336,104.0580726
Kampung Sungai Seluyut,Ayer Tawar 2,Johor,81920,1.7112952,103.9956269
Kampung Sungai Seluyut,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Kampung Sungai Sembilang,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Kampung Tanjung Buai,Ayer Tawar 2,Johor,81920,1.497484,104.043011
Kampung Telok Sengat,Ayer Tawar 2,Johor,81920,1.580171,104.018791
Kampung Telok Sengat,Ayer Tawar 2,Johor,81920,1.5650875,104.0263894
Ladang Ah Tong,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Ladang Amboh,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Ladang Asahi,Ayer Tawar 2,Johor,81920,1.6743006,103.98311
Ladang Bukit Tinggi,Ayer Tawar 2,Johor,81920,1.676623,104.0208592
Panchor,Ayer Tawar 2,Johor,81920,1.7112952,103.9956269
Panchor,Ayer Tawar 2,Johor,81920,1.6230182,103.9758455
Semenchu,Ayer Tawar 2,Johor,81920,1.6062016,104.0894698
Teluk Sengat,Ayer Tawar 2,Johor,81920,1.5845551,104.0534964
Bandar Mas,Bandar Penawar,Johor,81930,1.608198,104.142244
Bandar Penawar,Bandar Penawar,Johor,81930,1.5564633,104.2250605
Bandar Penawar,Bandar Penawar,Johor,81930,1.553358,104.2304281
Felda Adela,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Felda Kledang,Bandar Penawar,Johor,81930,1.475647,104.1787109
Felda Kledang,Bandar Penawar,Johor,81930,1.4751639,104.1777401
Felda Lok Heng Barat,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Felda Lok Heng Selatan,Bandar Penawar,Johor,81930,1.688903,104.116058
Felda Lok Heng Timor,Bandar Penawar,Johor,81930,1.694773,104.1095009
Felda Papan Timur,Bandar Penawar,Johor,81930,1.612962,104.1495361
Felda Sening,Bandar Penawar,Johor,81930,1.494572,104.1898478
Felda Sungai Mas,Bandar Penawar,Johor,81930,1.6005495,104.1529719
Felda Tunggal,Bandar Penawar,Johor,81930,1.475647,104.1787109
Felda Tunggal,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Flat Cempaka A,Bandar Penawar,Johor,81930,1.478292,104.170001
Flat Kenanga B,Bandar Penawar,Johor,81930,1.5677465,104.1011622
Flat LTA,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Flat Sri Cempaka,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Jalan Sungai Lebam,Bandar Penawar,Johor,81930,1.550025,104.201236
Kampung Baru,Bandar Penawar,Johor,81930,1.41955,104.10405
Kampung Baru,Bandar Penawar,Johor,81930,1.6088602,104.1533906
Kampung Baru Sungai Mas,Bandar Penawar,Johor,81930,1.601756,104.1407948
Kampung Baru Sungai Mas,Bandar Penawar,Johor,81930,1.601267,104.1437002
Kampung Melayu Tanjong Balau,Bandar Penawar,Johor,81930,1.5149363,103.7492445
Kampung Nelayan Pasir Gogok,Bandar Penawar,Johor,81930,1.563356,104.250578
Kampung Pasir Gogok,Bandar Penawar,Johor,81930,1.445712,104.112401
Kampung Sungai Pacat,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Kampung Tersusun,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Kawasan Industri,Bandar Penawar,Johor,81930,1.5561201,104.2082592
Ladang Santi,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Ladang Saw Thi,Bandar Penawar,Johor,81930,1.7385036,104.1466046
Tanjung Balau,Bandar Penawar,Johor,81930,1.613453,104.258201
Tanjung Belukor,Bandar Penawar,Johor,81930,1.553358,104.2304281
Tanjung Belukor,Bandar Penawar,Johor,81930,1.445749,104.062401
Bandar Petri Jaya,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Bandar Tenggara,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Desa Harmoni,Bandar Tenggara,Johor,81440,1.8798857,103.6171193
Felda Inas Selatan,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Felda Linggiu,Bandar Tenggara,Johor,81440,1.8666667,103.6166667
Felda Pengeli Timur,Bandar Tenggara,Johor,81440,1.845984,103.644032
Felda Pengeli Timur,Bandar Tenggara,Johor,81440,1.8462009,103.6494093
Felda Sungai Sibol,Bandar Tenggara,Johor,81440,1.8497648,103.6359292
Kampung Pasir Intan,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Kampung Sayong Pinang,Bandar Tenggara,Johor,81440,1.768235,103.780121
Kampung Sri Pekan,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Kawasan Perindustrian Bandar Tenggara,Bandar Tenggara,Johor,81440,1.8666667,103.6166667
Ladang Agro Maju,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Ladang Cenas,Bandar Tenggara,Johor,81440,1.8564986,103.5876364
Ladang Pekan,Bandar Tenggara,Johor,81440,1.8531406,103.5822572
Ladang Sungai Penggeli,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Ladang Ulu Sibol,Bandar Tenggara,Johor,81440,1.8456684,103.6403576
Taman Anggerik Tenggara,Bandar Tenggara,Johor,81440,1.5316914,103.6891796
Taman Anggerik Tenggara,Bandar Tenggara,Johor,81440,1.8462884,103.6220484
Taman Bandar Tenggara,Bandar Tenggara,Johor,81440,1.8666667,103.6166667
Taman Sayong Indah,Bandar Tenggara,Johor,81440,1.844116,103.6211291
Taman Sayong Indah,Bandar Tenggara,Johor,81440,1.8496668,103.6256792
Taman Sayong Pinang,Bandar Tenggara,Johor,81440,1.865088,103.6295219
Batu Anam,Batu Anam,Johor,85100,2.577145,102.7074128
Felcra Benang Air,Batu Anam,Johor,85100,2.577145,102.7074128
Felda Gugusan Palong Timur,Batu Anam,Johor,85100,2.577145,102.7074128
Felda Palong Timur,Batu Anam,Johor,85100,2.570065,102.712278
Felda Palong Timur 2,Batu Anam,Johor,85100,2.712865,102.6781333
Felda Palong Timur 3,Batu Anam,Johor,85100,2.577145,102.7074128
Gugusan Palong Timur,Batu Anam,Johor,85100,2.570064,102.7122721
HMPB Latex,Batu Anam,Johor,85100,2.570064,102.7122721
Kampung Amat,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Awat,Batu Anam,Johor,85100,2.570064,102.7122721
Kampung Balai Badang,Batu Anam,Johor,85100,2.570064,102.7122721
Kampung Bangkong,Batu Anam,Johor,85100,2.570064,102.7122721
Kampung Baru Amat,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Baru Awat,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Baru Batu Anam,Batu Anam,Johor,85100,2.5734059,102.7082074
Kampung Baru Cina,Batu Anam,Johor,85100,1.598734,103.8196
Kampung Baru Cina,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Baru Tambang,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Batu 10,Batu Anam,Johor,85100,2.5621359,102.7134669
Kampung Jawa,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Kenangan,Batu Anam,Johor,85100,2.571978,102.7172801
Kampung Lubok Lanjut,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Lubuk Kepong,Batu Anam,Johor,85100,2.6305697,102.6368251
Kampung Marigi,Batu Anam,Johor,85100,1.507582,103.868231
Kampung Marigi,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Mengkudut,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Mensudut Lama,Batu Anam,Johor,85100,2.570064,102.7122721
Kampung Mensudut Pindah,Batu Anam,Johor,85100,2.568717,102.710234
Kampung Padang Kiambang,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Pana Terap,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Paya Lang Dua,Batu Anam,Johor,85100,2.581182,102.706387
Kampung Paya Lang Satu,Batu Anam,Johor,85100,2.5770632,102.7072519
Kampung Paya Lang Tiga,Batu Anam,Johor,85100,2.581182,102.706387
Kampung Paya Lebar,Batu Anam,Johor,85100,2.5098927,102.7293132
Kampung Paya Luas,Batu Anam,Johor,85100,2.5630302,102.7379328
Kampung Penawing,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Pudu,Batu Anam,Johor,85100,2.570064,102.7122721
Kampung Puting,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Rokam,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Sepang Loi,Batu Anam,Johor,85100,2.6476516,102.755174
Kampung Seri Rawa,Batu Anam,Johor,85100,2.577145,102.7074128
Kampung Tambang,Batu Anam,Johor,85100,2.640355,102.7429621
Ladang Ayer Molek,Batu Anam,Johor,85100,2.577145,102.7074128
Ladang Bahagian Tambang,Batu Anam,Johor,85100,2.577145,102.7074128
Ladang Gomali,Batu Anam,Johor,85100,2.6105727,102.6672597
Ladang Hup Soon,Batu Anam,Johor,85100,2.577145,102.7074128
Ladang Paya Lang,Batu Anam,Johor,85100,2.581182,102.706387
Ladang Sungai Senarut,Batu Anam,Johor,85100,2.5773118,102.6934876
Ladang UMRE,Batu Anam,Johor,85100,2.577145,102.7074128
Perumahan India,Batu Anam,Johor,85100,2.577145,102.7074128
Perumahan Melayu,Batu Anam,Johor,85100,2.5724648,102.7115855
Perumahan Rakyat,Batu Anam,Johor,85100,2.574561,102.706403
Sepang Loi,Batu Anam,Johor,85100,2.6090181,102.7109527
Taman Bintang,Batu Anam,Johor,85100,2.56712,102.7224897
Taman Damai,Batu Anam,Johor,85100,2.566503,102.719894
Taman Desa India,Batu Anam,Johor,85100,2.5775243,102.709925
Taman KSM,Batu Anam,Johor,85100,2.5625772,102.7228488
Taman Koperasi,Batu Anam,Johor,85100,2.565163,102.7254179
Taman Mina,Batu Anam,Johor,85100,2.566667,102.7074077
Taman Permai,Batu Anam,Johor,85100,2.566473,102.718048
Taman Sejati,Batu Anam,Johor,85100,2.5654045,102.7228686
Taman Seri Emas Jaya,Batu Anam,Johor,85100,2.577145,102.7074128
Taman Seri Kenangan,Batu Anam,Johor,85100,2.5391626,102.7185594
Taman Sri Alam,Batu Anam,Johor,85100,2.5579047,102.736137
Taman Sri Alam 2,Batu Anam,Johor,85100,2.5579047,102.736137
Bagan,Batu Pahat,Johor,83000,1.8525046,102.8629885
Batu Pahat,Batu Pahat,Johor,83000,1.8539494,102.9357477
Batu Puteh,Batu Pahat,Johor,83000,1.8940317,102.8320903
Benting Kanan,Batu Pahat,Johor,83000,1.8539494,102.9357477
Benting Kiri,Batu Pahat,Johor,83000,1.8539494,102.9357477
Bukit Jeragan,Batu Pahat,Johor,83000,1.8617725,102.8975098
Bukit Jeragan,Batu Pahat,Johor,83000,1.849442,102.9288341
Gunung Soga,Batu Pahat,Johor,83000,1.8552778,102.9575
Gunung Soga,Batu Pahat,Johor,83000,1.8524458,102.9490734
Jalan Abd. Rahman Jaffar,Batu Pahat,Johor,83000,1.8554413,102.9404556
Jalan Abdullah,Batu Pahat,Johor,83000,1.8557,102.9400135
Jalan Abu Bakar,Batu Pahat,Johor,83000,1.8527223,102.9278713
Jalan Ah Mong,Batu Pahat,Johor,83000,1.8617725,102.8975098
Jalan Ah Mong,Batu Pahat,Johor,83000,1.8539494,102.9357477
Jalan Ampuan,Batu Pahat,Johor,83000,1.8418041,102.9315869
Jalan Arab,Batu Pahat,Johor,83000,1.8483055,102.937743
Jalan Bakau Condong,Batu Pahat,Johor,83000,1.8575963,102.9354565
Jalan Bangau,Batu Pahat,Johor,83000,1.8531649,102.9391941
Jalan Casey,Batu Pahat,Johor,83000,1.8539494,102.9357477
Jalan Cenderawasih,Batu Pahat,Johor,83000,1.85302,102.939773
Jalan Cenderawasih,Batu Pahat,Johor,83000,1.8529953,102.9397374
Jalan Dapat,Batu Pahat,Johor,83000,1.8481719,102.9285079
Jalan Dato Mohd Shah,Batu Pahat,Johor,83000,1.8550496,102.9490755
Jalan Dato Onn,Batu Pahat,Johor,83000,1.85524,102.940136
Jalan Dato Wan Idris,Batu Pahat,Johor,83000,1.8617725,102.8975098
Jalan Dato Wan Idris,Batu Pahat,Johor,83000,1.854524,102.9390265
Jalan Engan,Batu Pahat,Johor,83000,1.8490182,102.9260823
Jalan Fatimah,Batu Pahat,Johor,83000,1.847236,102.927172
Jalan Fatimah,Batu Pahat,Johor,83000,1.848071,102.927355
Jalan Ghaffar,Batu Pahat,Johor,83000,1.853198,102.940933
Jalan Haji Bajuri,Batu Pahat,Johor,83000,1.8503209,102.9284169
Jalan Haji Basir,Batu Pahat,Johor,83000,1.848025,102.941097
Jalan Haji Basir,Batu Pahat,Johor,83000,1.8480779,102.9411047
Jalan Hamidon,Batu Pahat,Johor,83000,1.849523,102.931012
Jalan Ibrahim,Batu Pahat,Johor,83000,1.8495616,102.9255261
Jalan Idrus,Batu Pahat,Johor,83000,1.8485078,102.926733
Jalan Intan,Batu Pahat,Johor,83000,1.8462436,102.9263545
Jalan Ismail,Batu Pahat,Johor,83000,1.850429,102.928026
Jalan Ismail,Batu Pahat,Johor,83000,1.850673,102.9279993
Jalan Ismail Abdullah,Batu Pahat,Johor,83000,1.8617725,102.8975098
Jalan Ismail Abdullah,Batu Pahat,Johor,83000,1.854506,102.9404945
Jalan Jenang,Batu Pahat,Johor,83000,1.8524563,102.9275222
Jalan Kenangan,Batu Pahat,Johor,83000,1.84413,102.9389455
Jalan Kluang hingga Km 8,Batu Pahat,Johor,83000,1.8539494,102.9357477
Jalan Lengkuas,Batu Pahat,Johor,83000,1.8617725,102.8975098
Jalan Lengkuas,Batu Pahat,Johor,83000,1.8553539,102.9326931
Jalan Lim Poon,Batu Pahat,Johor,83000,1.8474378,102.9428379
Jalan Lim Yew Leong,Batu Pahat,Johor,83000,1.8491567,102.9456617
Jalan Ludin,Batu Pahat,Johor,83000,1.8555221,102.9305749
Jalan Masjid,Batu Pahat,Johor,83000,1.8449418,102.9286069
Jalan Md. Akil,Batu Pahat,Johor,83000,1.8539494,102.9357477
Jalan Megat,Batu Pahat,Johor,83000,1.8557478,102.9256037
Jalan Merpati,Batu Pahat,Johor,83000,1.8519725,102.9410005
Jalan Mohd Dom,Batu Pahat,Johor,83000,1.853739,102.9323715
Jalan Mohd Khalid,Batu Pahat,Johor,83000,1.852006,102.930607
Jalan Mustafa,Batu Pahat,Johor,83000,1.8539494,102.9357477
Jalan Mutiara,Batu Pahat,Johor,83000,1.835362,102.9465163
Jalan Omar,Batu Pahat,Johor,83000,1.8519485,102.9330391
Jalan Pancuran Air,Batu Pahat,Johor,83000,1.853136,102.926981
Jalan Pantai Darat,Batu Pahat,Johor,83000,1.847667,102.9257251
Jalan Pantai Laut,Batu Pahat,Johor,83000,1.7832523,102.8934006
Jalan Pantai Timur,Batu Pahat,Johor,83000,1.8466421,102.9293124
Jalan Pasar,Batu Pahat,Johor,83000,1.8483773,102.9254309
Jalan Pasir Tinggi,Batu Pahat,Johor,83000,1.8436078,102.9470432
Jalan Pegawai Dalam,Batu Pahat,Johor,83000,1.8512926,102.9377116
Jalan Pejabat,Batu Pahat,Johor,83000,1.8452146,102.9346482
Jalan Peng Kai,Batu Pahat,Johor,83000,1.8546564,102.9276995
Jalan Penggaram,Batu Pahat,Johor,83000,1.8486289,102.92594
Jalan Penghulu Majid,Batu Pahat,Johor,83000,1.8522135,102.9343007
Jalan Penjaja,Batu Pahat,Johor,83000,1.8586384,102.9286916
Jalan Peserai,Batu Pahat,Johor,83000,1.8492645,102.9041559
Jalan Puay Eng,Batu Pahat,Johor,83000,1.8548937,102.9302435
Jalan Putri,Batu Pahat,Johor,83000,1.851991,102.929584
Jalan Rahmat,Batu Pahat,Johor,83000,1.8488089,102.9312178
Jalan Raja Endut,Batu Pahat,Johor,83000,1.8531315,102.9416275
Jalan Rebana,Batu Pahat,Johor,83000,1.8569418,102.931943
Jalan Rugayah,Batu Pahat,Johor,83000,1.8547618,102.9263236
Jalan Satey,Batu Pahat,Johor,83000,1.853276,102.924943
Jalan Selesa,Batu Pahat,Johor,83000,1.8461357,102.9386831
Jalan Seruling,Batu Pahat,Johor,83000,1.8569918,102.9323552
Jalan Serunai,Batu Pahat,Johor,83000,1.85755,102.9314446
Jalan Shahbandar,Batu Pahat,Johor,83000,1.8526907,102.9248379
Jalan Soga,Batu Pahat,Johor,83000,1.8524701,102.926791
Jalan Soh Bok Yew,Batu Pahat,Johor,83000,1.853754,102.939446
Jalan Soh Bok Yew,Batu Pahat,Johor,83000,1.853728,102.939412
Jalan Sulaiman,Batu Pahat,Johor,83000,1.8502371,102.9316022
Jalan Tabla,Batu Pahat,Johor,83000,1.8539494,102.9357477
Jalan Talib,Batu Pahat,Johor,83000,1.853855,102.940614
